Date,Confirmed,Recovered,Deceased,Active
30-Jan,1,0,0,1
31-Jan,1,0,0,1
1-Feb,1,0,0,1
2-Feb,2,0,0,2
3-Feb,3,0,0,3
4-Feb,3,0,0,3
5-Feb,3,0,0,3
6-Feb,3,0,0,3
7-Feb,3,0,0,3
8-Feb,3,0,0,3
9-Feb,3,0,0,3
10-Feb,3,0,0,3
11-Feb,3,0,0,3
12-Feb,3,0,0,3
13-Feb,3,1,0,2
14-Feb,3,1,0,2
15-Feb,3,1,0,2
16-Feb,3,2,0,1
17-Feb,3,2,0,1
18-Feb,3,2,0,1
19-Feb,3,2,0,1
20-Feb,3,3,0,0
21-Feb,3,3,0,0
22-Feb,3,3,0,0
23-Feb,3,3,0,0
24-Feb,3,3,0,0
25-Feb,3,3,0,0
26-Feb,3,3,0,0
27-Feb,3,3,0,0
28-Feb,3,3,0,0
29-Feb,3,3,0,0
1-Mar,3,3,0,0
2-Mar,5,3,0,2
3-Mar,6,3,0,3
4-Mar,28,3,0,25
5-Mar,30,3,0,27
6-Mar,31,3,0,28
7-Mar,34,3,0,31
8-Mar,39,3,0,36
9-Mar,48,3,0,45
10-Mar,63,4,0,59
11-Mar,71,4,0,67
12-Mar,81,4,1,76
13-Mar,91,10,1,80
14-Mar,102,10,2,90
15-Mar,112,13,2,97
16-Mar,126,14,2,110
17-Mar,146,15,3,128
18-Mar,171,15,3,153
19-Mar,198,20,4,174
20-Mar,256,23,4,229
21-Mar,334,23,4,307
22-Mar,403,23,7,373
23-Mar,497,25,9,463
24-Mar,571,40,10,521
25-Mar,657,43,11,603
26-Mar,730,50,16,664
27-Mar,883,75,19,789
28-Mar,1019,85,24,910
29-Mar,1139,102,27,1010
30-Mar,1326,137,41,1148
31-Mar,1635,150,47,1438
1-Apr,2059,169,53,1837
2-Apr,2545,191,69,2285
3-Apr,3105,230,83,2792
4-Apr,3684,286,96,3302
5-Apr,4293,329,118,3846
6-Apr,4777,394,134,4249
7-Apr,5350,469,161,4720
8-Apr,5915,565,181,5169
9-Apr,6728,635,227,5866
10-Apr,7599,786,249,6564
11-Apr,8453,972,290,7191
12-Apr,9211,1086,332,7793
13-Apr,10454,1198,359,8897
14-Apr,11485,1365,396,9724
15-Apr,12371,1509,423,10439
16-Apr,13432,1767,449,11216
17-Apr,14354,2040,487,11827
18-Apr,15725,2466,522,12737
19-Apr,17305,2854,560,13891
20-Apr,18544,3273,593,14678
21-Apr,20081,3976,646,15459
22-Apr,21373,4370,682,16321
23-Apr,23040,5012,722,17306
24-Apr,24448,5496,781,18171
25-Apr,26283,5938,825,19520
26-Apr,27890,6523,881,20486
27-Apr,29458,7103,939,21416
28-Apr,31360,7739,1008,22613
29-Apr,33065,8429,1079,23557
30-Apr,34866,9059,1154,24653
1-May,37262,10021,1231,26010
2-May,39826,10852,1323,27651
3-May,42778,11763,1463,29552
4-May,46434,12845,1566,32023
5-May,49405,14140,1694,33571
6-May,53007,15301,1785,35921
7-May,56351,16776,1889,37686
8-May,59690,17887,1986,39817
9-May,62865,19301,2101,41463
10-May,67176,20970,2213,43993
11-May,70768,22549,2294,45925
12-May,74330,24454,2414,47462
13-May,78056,26417,2551,49088
14-May,82047,28011,2648,51388
15-May,85855,30245,2752,52858
16-May,90649,34257,2872,53520
17-May,95698,36795,3024,55879
18-May,100326,39277,3155,57894
19-May,106480,42309,3301,60870
20-May,112200,45422,3435,63343
21-May,118223,48553,3583,66087
22-May,124759,51833,3725,69201
23-May,131424,54409,3867,73148
24-May,138537,57694,4023,76820
25-May,144951,60706,4173,80072
26-May,150858,64291,4346,82221
27-May,158104,67725,4534,85845
28-May,165358,70896,4710,89752
29-May,173496,82631,4979,85886
30-May,181860,86934,5184,89742
31-May,190649,91862,5406,93381
1-Jun,198372,95744,5607,97021
2-Jun,207187,100275,5829,101083
3-Jun,216876,104064,6088,106724
4-Jun,226723,108454,6362,111907
5-Jun,236195,113224,6648,116323
6-Jun,246603,118657,6945,121001
7-Jun,257485,123848,7206,126431
8-Jun,266021,129019,7477,129525
9-Jun,276002,134653,7749,133600
10-Jun,287158,140928,8107,138123
11-Jun,298293,146972,8501,142820
12-Jun,309599,154235,8889,146475
13-Jun,321638,162327,9198,150113
14-Jun,333043,169685,9522,153836
15-Jun,343075,180324,9918,152833
16-Jun,354161,187550,11922,154689
17-Jun,367269,194440,12263,160566
18-Jun,381098,205181,12606,163311
19-Jun,395838,214210,12970,168658
20-Jun,411753,228184,13278,170291
21-Jun,426904,237259,13704,175941
22-Jun,440464,248138,14016,178310
23-Jun,456120,258600,14484,183036
24-Jun,472988,271689,14908,186391
25-Jun,491193,285672,15309,190212
26-Jun,509448,295918,15690,197840
27-Jun,529590,310147,16104,203339
28-Jun,549200,321778,16488,210934
29-Jun,567539,335275,16905,215359
30-Jun,585795,347840,17411,220544
1-Jul,605224,359904,17849,227471
2-Jul,627171,379903,18227,229041
3-Jul,649889,394320,18671,236898
4-Jul,673907,409066,19282,245559
5-Jul,697849,424895,19703,253251
6-Jul,720349,440210,20176,259963
7-Jul,743496,457046,20655,265795
8-Jul,769057,476554,21147,271356
9-Jul,794847,495962,21626,277259
10-Jul,822609,516242,22146,284221
